"ComputerName";"TestDateTime";"NumberOfTests";"Application";"AverageRESTime";"MinimumStartTime";"MaximumStartTime";"AverageStartTime";"Discrepancy"
"AVYPORKHANYUK-B";"2019.10.21 16:32";"1";"notepad.exe";"0";"0.3";"0.3";"0.3";"N\A"
"AVYPORKHANYUK-B";"2019.10.21 16:32";"1";"notepad.exe";"0";"0.2";"0.2";"0.2";"N\A"
"AVYPORKHANYUK-B";"2019.10.21 16:32";"1";"notepad.exe";"0";"0.2";"0.2";"0.2";"N\A"
